cloud_cover,diffuse_radiation,direct_radiation,relative_humidity_2m,surface_pressure,temperature_2m,time,wind_direction_10m,wind_speed_10m
92,0,0,76,1001.1,11.4,1672527600000,186,19.9
93,0,0,75,1000.9,11.7,1672531200000,195,22.4
0,0,0,74,1000.8,11.9,1672534800000,191,22.4
0,0,0,75,1001.4,11.7,1672538400000,197,23.3
0,0,0,76,1001.3,11.5,1.672542e+12,199,23.2
28,0,0,80,1001.3,10.6,1672545600000,200,22.5
82,0,0,81,1001.3,10.1,1672549200000,199,20.2
91,0,0,78,1001.7,10.1,1672552800000,201,19.3
92,0,0,77,1002.3,10.2,1672556400000,200,19.6
68,6,4,77,1002.5,10.6,1.67256e+12,201,21.2
99,42,23,75,1003,11.5,1672563600000,199,19.8
97,67,92,75,1003.6,12.5,1672567200000,197,16.2
99,83,133,72,1003.5,13.8,1672570800000,190,12.8
75,97,115,67,1002.5,15.4,1672574400000,191,11.7
98,101,123,69,1001.7,16.1,1.672578e+12,192,15.1
