cloud_cover,diffuse_radiation,direct_radiation,relative_humidity_2m,surface_pressure,temperature_2m,time,wind_direction_10m,wind_speed_10m
96,0.0,0.0,75,1000.8,11.7,1672527600000,187,20.0
92,0.0,0.0,76,1001.2,11.4,1672531200000,186,19.9
93,0.0,0.0,75,1000.9,11.8,1672534800000,195,22.4
0,0.0,0.0,74,1000.8,11.9,1672538400000,191,22.4
0,0.0,0.0,75,1001.4,11.8,1672542000000,197,23.3
0,0.0,0.0,76,1001.3,11.6,1672545600000,199,23.2
28,0.0,0.0,80,1001.3,10.6,1672549200000,200,22.5
82,0.0,0.0,81,1001.3,10.1,1672552800000,199,20.2
91,0.0,0.0,78,1001.7,10.2,1672556400000,201,19.3
92,0.0,0.0,77,1002.3,10.3,1672560000000,200,19.6
68,6.0,4.0,77,1002.5,10.7,1672563600000,201,21.2
99,42.0,23.0,75,1003.0,11.6,1672567200000,199,19.8
97,67.0,92.0,75,1003.6,12.6,1672570800000,197,16.2
99,83.0,133.0,72,1003.5,13.9,1672574400000,190,12.8
75,97.0,115.0,67,1002.5,15.4,1672578000000,191,11.7
98,101.0,123.0,69,1001.7,16.1,1672581600000,192,15.1
96,80.0,84.0,60,1001.3,15.6,1672585200000,205,14.3
99,45.0,48.0,64,1001.3,14.4,1672588800000,204,12.6
97,9.0,4.0,67,1001.0,13.2,1672592400000,195,12.7
89,0.0,0.0,73,1000.8,12.1,1672596000000,201,13.9
96,0.0,0.0,73,1000.6,11.8,1672599600000,203,18.7
75,0.0,0.0,70,1000.5,11.6,1672603200000,196,21.3
87,0.0,0.0,69,1000.6,11.8,1672606800000,198,23.9
100,0.0,0.0,67,1000.4,11.8,1672610400000,197,23.7
97,0.0,0.0,67,1000.6,11.6,1672614000000,199,23.2
59,0.0,0.0,67,1000.5,11.4,1672617600000,196,22.9
61,0.0,0.0,64,999.7,12.3,1672621200000,197,20.4
100,0.0,0.0,63,999.4,12.1,1672624800000,195,24.3
100,0.0,0.0,69,999.4,11.6,1672628400000,191,25.7
100,0.0,0.0,70,998.9,11.4,1672632000000,191,21.6
100,0.0,0.0,67,999.0,11.7,1672635600000,195,21.2
100,0.0,0.0,64,999.3,11.7,1672639200000,196,16.5
100,0.0,0.0,66,1000.0,11.2,1672642800000,189,15.3
